"index","id","synop","name","state","country","elevation","network","online","county","climate_site","wfo","modified","spri","tzname","iemid","archive_begin","metasite","ugc_county","ugc_zone","ncdc81","ncei91","longitude","latitude","plot_name","archive_end","geometry"
0,"AFF",93065,"AIR FORCE ACADEMY","CO","US",2003,"CO_ASOS",TRUE,"El Paso","COTCOS","PUB","2021-05-05T10:48:22Z",0,"America/Denver",34687,"1967-11-27T17:00:00Z",FALSE,"COC041","COZ226","USC00055734","USC00050756",-104.81283,38.96972,,,c(-104.81283, 38.96972)
1,"AKO",24015,"AKRON/WASHINGTON CO","CO","US",1431,"CO_ASOS",TRUE,"Washington","CO0114","BOU","2021-05-05T10:48:22Z",0,"America/Denver",34688,"1948-01-01T07:00:00Z",FALSE,"COC121","COZ249","USW00024015","USW00024015",-103.22203,40.17563,,,c(-103.22203, 40.17563)
2,"ALS",23061,"ALAMOSA MUNI(AWOS)","CO","US",2299,"CO_ASOS",TRUE,"Alamosa","CO0130","PUB","2021-05-05T10:48:22Z",0,"America/Denver",34689,"1948-01-01T13:00:00Z",FALSE,"COC003","COZ070","USW00023061","USW00023061",-105.86139,37.43889,,,c(-105.86139, 37.43889)
3,"ASE",93073,"ASPEN/SARDY FIELD","CO","US",2382,"CO_ASOS",TRUE,"Gunnison","CO1959","GJT","2021-05-05T10:48:22Z",0,"America/Denver",9415,"1973-01-01T00:00:00Z",FALSE,"COC097","COZ203","USW00093073","USW00093073",-106.86886,39.22317,,,c(-106.86886, 39.22317)
4,"0CO",419,"Berthoud Pass","CO","US",3792,"CO_ASOS",TRUE,"Clear Creek","CO1186","BOU","2021-05-05T10:48:22Z",0,"America/Denver",22652,"2006-10-01T06:33:00Z",FALSE,"COC019","COZ034","USC00053261","USC00053261",-105.763895,39.7938758,"Bethoud Pass",,c(-105.763895, 39.7938758)
5,"BDU",160,"Boulder","CO","US",1612,"CO_ASOS",TRUE,"Boulder","CO0848","BOU","2021-05-05T10:48:22Z",0,"America/Denver",22664,"2010-06-14T17:01:00Z",FALSE,"COC013","COZ239","USC00050848","USC00050848",-105.2258217,40.0394297,"Boulder",,c(-105.2258217, 40.0394297)
6,"BJC",3065,"BROOMFIELD/JEFFCO","CO","US",1724,"CO_ASOS",TRUE,"Boulder","CO5984","BOU","2021-05-05T10:48:22Z",0,"America/Denver",9436,"1981-08-01T15:00:00Z",FALSE,"COC059","COZ239","USC00055984","USC00055984",-105.11719,39.90881,,,c(-105.11719, 39.90881)
7,"BKF",23036,"BUCKLEY ANGB/DENVER","CO","US",1726,"CO_ASOS",TRUE,"Arapahoe","CO2220","BOU","2021-05-05T10:48:22Z",0,"America/Denver",21855,"1944-03-01T07:00:00Z",FALSE,"COC005","COZ040","USW00023062","USW00023062",-104.75167,39.70167,,,c(-104.75167, 39.70167)
8,"AEJ",3064,"BUENA VISTA","CO","US",2422,"CO_ASOS",TRUE,"Chaffee","CO1071","PUB","2021-05-05T10:48:22Z",0,"America/Denver",9070,"2010-04-06T15:35:00Z",FALSE,"COC015","COZ062","USC00051071","USC00051071",-106.12069,38.81416,"BUENA VISTA     ",,c(-106.12069, 38.81416)
9,"ITR",3026,"BURLINGTON","CO","US",1285,"CO_ASOS",TRUE,"Kit Carson","CO1121","GLD","2021-05-05T10:48:22Z",0,"America/Denver",9537,"1997-05-01T06:53:00Z",FALSE,"COC063","COZ253","USW00003026","USW00003026",-102.28539,39.2425,,,c(-102.28539, 39.2425)
10,"1V6",9999,"Canon City","CO","US",1645.1505,"CO_ASOS",TRUE,"Fremont","CO1294","PUB","2021-05-05T10:48:22Z",0,"America/Denver",56261,"2013-07-02T13:30:00Z",FALSE,"COC043","COZ083","USC00051294","USC00051294",-105.1058,38.428,"Canon City ",,c(-105.1058, 38.428)
11,"CWN",9999,"Cheyenne Mountain","CO","US",2227.647,"CO_ASOS",TRUE,"El Paso","CO7309","PUB","2021-05-05T10:48:22Z",0,"America/Denver",236278,"2013-11-26T19:56:00Z",FALSE,"COC041","COZ085","USC00057309","USC00057309",-104.85,38.75,"Cheyenne Mountain",,c(-104.85, 38.75)
12,"CFO",,"Colorado Air and Space","CO","US",1674.3636,"CO_ASOS",TRUE,"Adams","COTDEN","BOU","2021-05-05T10:48:22Z",0,"America/Denver",258724,"2020-02-03T16:52:00Z",FALSE,"COC001","COZ240","USW00003017","USW00003017",-104.5376,39.7841,"Colorado Air and Space",,c(-104.5376, 39.7841)
13,"COS",93037,"COLORADO SPRINGS","CO","US",1881,"CO_ASOS",TRUE,"El Paso","CO1778","PUB","2021-05-05T10:48:22Z",0,"America/Denver",34691,"1942-09-01T07:00:00Z",FALSE,"COC041","COZ085","USW00093037","USW00093037",-104.70078,38.80581,,,c(-104.70078, 38.80581)
